PostType,Post_Content,Associated_ISP_Network,Associated_SocialMedia_Name,UserRole,Time,Email,User_Name,User_gender,User_age,User_age_group,Content_Associated_Media,Comment_Info_On_Post,User_Comment_On_Post,Post_Id,AI_Content_Similarity_Score,Fraud_detection_score,Associated_Page,Associated_Group,Likes,Comments,Hate,Loves,Shares,Views,Region,City,Time_Foreign_ID
Survey,Across great usually point score very prepare. Must spend face good first buy officer religious. Job speak help force purpose.,MTN,Facebook,Commenter,2022-08-19 04:55:01,simsmichael@example.net,christine09,F,70,70s,758ad1cf26b42ac5ac46575d2db9b950,Total avoid yes financial son plant. Guess check ten woman. Stock federal message series sit.,Great break sit against. Just us direction share. Talk allow rock prevent know Congress.,28c66227-1d73-4228-b458-01ae6f5bf8e1,0.72,0.28,walters-campbell.org,kind,634,207,10,61,36,2201,Southwest,Bamenda,34b78157f46ebfa71d00c9fc334219435f75503bd39fd13cdbbf012268ae6515
Event,Career form past analysis. Rich herself have administration. Member heavy stay owner meet Congress scene. Gun capital southern enjoy as traditional.,ORANGE,Twitter,Commenter,2024-12-08 17:43:32,donna58@example.com,taylorstevens,F,97,90s-100s,b91ff297fb4428483a4f0cf5212f6069,Fall computer expect assume argue knowledge movement. Focus discover section. Hundred oil road.,Involve painting although phone. Beat game improve.,de5ac7c6-7ef8-4d96-ac98-9cc3d58767fb,0.14,0.49,garrett.net,adult,531,309,11,87,114,158,Central,Ngaoundere,e2c5964e9a8501a185b6c8ab3d7675bd9e47c5894eafc86c4d0208d9b5e90165
Ad,"Teacher real artist. According child spend former kind.
Issue push event man. Bring step author pass many. Think discover fall.
Help throughout career run surface white compare.",MTN,Facebook,Poster,2023-01-06 11:00:03,kevinwilliams@example.org,comptonsarah,M,87,80s,14b447ccfc8c0dc842dc082a22044333,Suffer almost better new couple. Majority begin too interest law perhaps.,Meeting over security money my gas second. Window measure character success lot difficult.,c53d0b63-fbfc-4515-a3db-5af1a622ae61,0.44,0.35,phillips.com,force,297,305,82,77,3,6482,West,Limbe,6a18b9589fdba2194e0e743add0722dfbaa1c77933b45a3f205d25633a496e1b
Event,"Evidence any admit summer land fill. Your magazine data shake.
Your get agency can. Many community identify build.
Fill him must television book maintain task.",ORANGE,LinkedIn,Poster,2021-02-16 03:23:25,vasquezdiana@example.com,mitchellhernandez,M,53,50s,a69df3791826ce3f70cce696def77824,Thought dark money artist. Continue magazine military easy price whether must.,His true assume professional book he. Culture radio media newspaper store at financial job.,a9281fea-7233-4944-875b-f42385642372,0.21,0.97,hudson.com,she,657,10,85,70,153,2562,Southwest,Douala,90e3b1ec86ab3cc79e0820ff94aa342d49f51d9de6190696c4130d0ad79bc809
Event,"Blood cup have left show simple director. Site recent window enter eat.
Film listen life enough better. Yet whether late have.",MTN,Twitter,Poster,2020-04-24 15:17:58,parkerstephen@example.com,kimberlygarcia,F,22,Early-20s,5c58c57b9bb9b99cbb5b91563f51883a,Religious society the increase strong source. Authority information plant wall data.,Series keep control life better. Her worry responsibility show body collection boy dark.,2ac15392-9bd4-42cc-bf14-cd76793058e4,0.35,1.0,harris.org,city,627,86,90,6,77,4245,South,Bafoussam,d1b70612e20824866cfea5d9aabdb78f6b61cdb7ad9296ae169a5990c325e8e2
Survey,Star most time discussion book seven music foot. Yes lay environment help. Type point son.,CAMTEL,LinkedIn,Commenter,2023-05-05 02:19:16,aneal@example.com,greenerichard,M,29,Late-20s,47127e473436bddcceaafec6cf7df27b,Not painting prepare run central so almost. Defense surface ago sometimes experience.,Use religious serve pick. Grow your staff none. Occur human pass raise man return.,3cc64ee5-636f-4254-866d-fb15589edb32,0.09,0.9,smith-dennis.com,would,423,492,0,197,113,1933,East,Douala,f01ecd228b458bab06707193c61766774065e47f261c129db2db2d80c9fbb01e
Survey,"Machine call true break article. Friend every degree watch.
Yet foreign hit argue data college prevent approach. After sell same beautiful capital hear.",ORANGE,Facebook,Commenter,2022-01-04 08:16:07,quinnkevin@example.com,ksanchez,F,61,60s,8c6ac2237d0b1e4bf253ea25a67d9e4d,Positive third however clear. Standard nice I name. War movement instead also stage.,Within test face early word. Respond culture laugh determine let prevent central.,77eba3fb-2ac4-48f8-b988-8b0574627b90,0.98,0.88,williams.com,argue,778,448,38,153,50,247,East,Bertoua,00b555743c219a0f30d363d6064b0c0788fdd41064e6e5f850b5234fab2c52a4
Survey,"Sea mission side.
That back add employee. Else market analysis leg. Property report page rather democratic culture religious reality.",MTN,LinkedIn,Commenter,2016-04-12 20:11:23,xwalls@example.net,michael99,F,72,70s,cc4561deb3598959d1b0f049db12e015,West true color story speak. Director worker air way.,Modern this of head. As thus site possible six simple.,8bb5c8ba-d6ff-40fa-81ff-b92e8c863b09,0.35,0.04,jones-macias.info,probably,580,88,20,256,114,3626,Adamaoua,Ebolowa,a29d73fbc795a3bfbdc13dd41af5bba8f5831cc7a9f719e5100e7fec44ebcc83
Survey,Discussion soon then general economic listen rock. Reduce federal wait view. Customer resource bed safe.,CAMTEL,Twitter,Poster,2022-06-20 03:13:08,sean27@example.org,nichole41,F,11,Adolescent,8bb807b46b9d4518d795c2ea6e28d38c,Everyone prevent politics training. Draw moment help debate. Idea me only need.,Them difference entire ago serve back.,db9b6551-646c-49b3-b69e-88b720477c64,0.9,0.79,dean.com,only,361,316,77,294,113,859,Far North,Ebolowa,a586d9516fa87e2861f38cbd0d83ada47631ac5abd25e82fedf49fb2993b3b3c
Event,"Even response case development heavy produce leader. Others although particular.
Own drug look answer senior. The surface might his window station check.",MTN,Twitter,Poster,2017-08-14 11:02:09,carlapope@example.org,juanowens,F,99,90s-100s,095437884a1a67772ac755b518e362c5,You phone late recognize current task. Turn impact positive health.,Hold land describe worker major true vote. Score camera quality account.,9a4cc0a9-edfd-4b3a-878e-72449ce274b5,0.46,0.45,andrade.info,expect,7,241,39,55,146,6236,Northwest,Bertoua,d4c366026d572650ea36593889f31d9a4155e165b50ca774af1c1e0e645343f3
Ad,"Every word practice development. Close item manage a dark.
Soldier industry behind vote performance factor explain. Figure so tough. Property else course number finish woman record.",MTN,Twitter,Poster,2015-06-04 14:35:10,stephenruiz@example.com,davidrodriguez,F,71,70s,6009993b32f8075f419d4f5d806a64f1,Green admit front hard mind nature. Law agreement economic discover behavior.,Measure land company heavy really rate.,344ce58d-05e5-4492-a023-8f9cf1922641,0.06,0.6,west.com,her,779,460,19,177,84,595,Littoral,Bertoua,1b5a6fd79583dbe328ea1fdbc403cb6e5ca6c550500acfd74263234374e88b0d
Event,"Determine do color score if begin.
More quite morning not pass picture feeling. Kid another year unit provide father see really. Another response particularly camera avoid.",MTN,LinkedIn,Commenter,2022-09-09 14:09:00,cruzpamela@example.org,edavis,F,58,50s,d8fe08de3e11f708f594735be775d582,Order history task soldier piece likely future. Herself no guess culture. Sell southern off speech.,What administration decision finally world TV. Around history customer loss third teach religious.,f21ee4a2-2f3c-474a-8615-a0620e349214,0.77,0.39,bishop.com,in,496,377,26,273,187,2495,East,Garoua,ce3502b7bc577514fc74cc7995a2b9db7961440e0218a619fa80a539070d6a97
Ad,"Decision soldier attack surface. Safe name quite ok serious heart. Memory win consumer.
Factor single region west issue. Girl month human impact.
Whole address senior rule far.",ORANGE,Twitter,Poster,2023-07-30 23:37:17,normanmaureen@example.com,bradshawstacy,M,26,Mid-20s,57d52a1b756aab1461d3d1f0f0e78441,Pretty increase nation buy note. Man one affect he including try.,May professor hold. Face nice total husband system company own.,e7e5740e-3cc4-484b-becc-7eb66c594ee9,0.15,0.73,wyatt.net,hold,366,131,2,123,14,5945,Northwest,Garoua,6853866067e0413170a25b4ae6c36ed95f4ca68c249ba1ff21fe973bd506688a
Ad,"Effect benefit best room fine matter own despite. Fire land statement we positive.
They few couple. No prevent structure site total after itself place. Concern walk worker especially political.",ORANGE,LinkedIn,Commenter,2018-11-09 18:01:19,fredfox@example.net,prestonluis,F,86,80s,c2f08bfaa78705a6e679e4335f59e026,Share hot drug through care garden both.,Will Congress reach deal energy while. Door enjoy visit drive support position town.,4bc6c979-5e34-4301-bfc2-2e91aedc7237,0.63,0.47,gonzalez.biz,begin,106,292,61,186,30,6477,Central,Ngaoundere,1fcd5b6984fd58b77f251fe943fdbe1213a132aa78639ffb0c3134e1349d30ef
Survey,"Oil true firm. Join take population task big forward.
Bag no recognize. Toward fear billion defense special final. Approach interview cultural adult.",MTN,LinkedIn,Commenter,2021-11-18 01:08:45,bowmansamantha@example.net,martinmelvin,M,71,70s,dcfd954e2eb221e28764ba45e3bc52f6,On sit page interesting say. New air education party class when response school.,Force small follow party several him. Family ask figure. Compare others office weight.,1e6bcb2c-daf0-4431-9d4f-f2c12b4a35ca,0.74,0.37,black-silva.org,especially,447,336,46,195,97,9750,North,Yaounde,fc7fbf531d563e36861678770ff16696d6685c326c1a30b2fa28de0345e0142a
Ad,Meeting represent hour save. Office relationship perform hospital. Leg wind production teach threat them expect.,CAMTEL,Facebook,Poster,2021-01-28 18:55:20,cking@example.net,mirandapatricia,F,80,80s,135d2efdae7e93cf1b5884cc886c0e58,Discover level administration Democrat health point. Table cut parent view sit lead act indeed.,Deal southern response low program adult as fly. Boy thousand course and pretty.,657fe4b4-56be-4dba-bbf9-829e2db7ee64,0.56,0.27,parsons-young.com,radio,543,3,55,4,131,4607,Northwest,Bafoussam,72fe1c3356a459c2087cac72ee19af34f1182d17422489bc6608667b65c179cc
Survey,Job office resource heart box thus person. Apply follow forward quickly apply show rise. And nothing edge buy throughout.,MTN,Twitter,Poster,2015-09-02 11:47:44,jillianbennett@example.com,georgecharles,M,69,60s,6e0f9aa1d94230bea0f9e252f6eb339d,Gun training end this store. Task poor general citizen thought sometimes.,Analysis surface key will.,28cd176f-4d99-4d4d-931d-3258e9023b53,0.13,0.4,bryant.biz,design,888,320,82,75,45,7385,Littoral,Garoua,9e1eab773800c5fb4ec664475c205b0d23a995c1fbc2e303a5c11e4afa861cba
Survey,"Happen baby sort edge traditional able. Article cause sure machine.
Like start alone voice evidence.
Water group weight against half. Prove laugh along above out reason stock.",MTN,Twitter,Commenter,2021-03-30 19:55:48,prowe@example.com,jonathan54,F,22,Early-20s,c839f90c5d28415238ca904dde1afaf1,Kitchen action important information west garden concern national. Drop up discussion bag never.,As house two should truth. Bank leader enjoy or magazine newspaper.,69ea84fa-d8bd-4c7a-90e1-6c7636837252,0.5,0.21,hall.org,social,893,336,77,43,94,8585,West,Douala,d2338487fcec2a40d9c9e9af507621e2560f4701621b9e79c76ff3778a658990
Ad,"Bring perform middle here. Look including happen quickly many lot institution.
Including ok administration commercial fall artist.",MTN,Twitter,Commenter,2022-03-20 17:24:38,melody10@example.net,gonzaleslisa,M,65,60s,6b1f629ea1956463f23c9b858513b4d5,Likely watch stand very.,Leave participant movement financial work station outside debate. Six say require discuss open.,4531062d-e19f-4a09-99ec-a1d1dc952a89,0.8,0.94,colon.com,point,9,397,27,133,173,2622,Southwest,Bafoussam,bb86d8ec084f25c3c949e0e2a20ab1b785833ff2507c9a5b812303611a549f75
Ad,Often check understand activity network. Rise respond but together increase small. Pay hour various before city each.,MTN,LinkedIn,Poster,2018-05-26 03:10:45,howardandrew@example.com,anthonygibson,M,57,50s,0f25905807f39a346a050800d85bf2d9,Loss hospital sometimes. Call our customer he.,Sure education less.,6ba277c0-8df0-4f88-bede-131f2f5ec0f5,0.55,0.81,wiggins.com,up,825,232,14,267,149,6013,East,Douala,c31ef26b171361e73b274084e41a2715387930a14cc6130e65309fb795c91dc8
Survey,"Forward difference rise popular vote term phone. Piece across only.
Weight central better should cover best.",MTN,LinkedIn,Poster,2019-11-02 10:21:33,nichole28@example.com,stephen38,F,45,40s,a20e41971181d9d340a64df7e9ce83c4,Fill recently at. Figure week tonight reflect up.,Claim boy indeed specific low. Son rise kid enough dog. Change where true.,c91c5fa5-1e2f-46d4-bbf1-4d969c68a562,0.77,0.6,fowler-wells.com,majority,502,28,78,111,161,4989,East,Yaounde,ee830d784de8ebbb46762b00b96199629bee953fd4edb6f97b7c6bceeaa8a5bc
Event,Their these week probably unit. Second source own husband. Rule occur similar official story agency or.,MTN,Facebook,Poster,2022-11-13 13:25:05,marquezmichael@example.net,matthewwatkins,F,91,90s-100s,793aabf7edf4dd5c686352a7b4db2ae3,Campaign organization total. Style card drive group. Resource thousand center bill on very.,Quality news there black follow ago huge. Most off eight tax. East performance present big bed.,70c11292-be59-47da-9db5-54394cf7f36a,0.71,0.95,miller-kim.com,out,625,251,15,181,56,2662,South,Limbe,2ae979ad3e82baec895e5c8cca7135d01d1c58f7bd5bebabd28e73e2f82a6a47
Survey,"Technology life involve clear far after out. Instead on Republican usually course according people.
Significant old offer action here ok create success. Way relationship section fire let politics.",ORANGE,Facebook,Poster,2020-10-17 13:16:01,douglassoto@example.net,sonyatravis,M,62,60s,559b7c2ab130e011a796fa74d6e5124d,Use politics you baby think so.,Job other past research. Expect standard future fill piece.,265c0aad-23cb-4ad7-8a7b-bf1c833719fa,0.01,0.11,jones.com,at,733,437,38,132,75,4843,North,Yaounde,70575bdaba28649d08977cbfe3369555677ef9e5d9f6f4078a834ec25b52dfe9
Ad,Position sound current green instead while factor open. Participant west behind little citizen house loss.,ORANGE,LinkedIn,Commenter,2018-06-26 23:12:07,wesparza@example.net,crobinson,F,13,Teenager,2cb64773b11b0e4e9e0ad06871709bad,Middle give build past reveal put day. Himself peace field collection study accept decade.,Final finish magazine. Eat order my teacher thing oil so.,d5ab567a-e37e-4323-a04f-865bd1dcc8b0,0.54,0.5,webb.com,heavy,392,142,66,13,55,8883,East,Ngaoundere,e4a02b2c5c672aef2e484e8c01bff4aa7a0922494c613b1c6378680c578f283f
Ad,"Word get speech admit piece raise as more. Skin others top common imagine go.
Finally sell kid before.",ORANGE,Twitter,Poster,2024-05-09 07:14:07,lisasanford@example.net,marymartinez,F,86,80s,741f31d6535a2c9c0630ede74c9ddd48,Turn thank listen first investment standard research easy. Thing bank term read lawyer.,Evening choice audience high information story season. Side no build relationship fear lose.,29a9e74b-a8c3-44f4-b73c-5470515e2eea,0.72,0.58,johnson.com,lead,310,173,81,68,65,7970,Northwest,Ebolowa,f73e936ca8c1a625d52da18a0efbb054ae15c93a5ea95669d289eefbe024cc52
