Message_ID,Sender_ID,Receiver_ID,Receiver_Num,Sender_Num,Message_Type,Time,Sender_Name,Receiver_Name,Message_Kind,Content,Region,City,Time_Foreign_ID
1ecdd15f-b183-4159-b73c-8ece69eb0156,136b5cdf-9755-4198-9bb2-1fdf2efe3223,aaf05d20-95a1-497a-b783-4ae76bf1beef,936-837-8651x8671,+1-536-355-2619x54238,SMS,2015-10-29 06:10:54,Tamara Armstrong,Mrs. Dawn Davenport,Image,Record myself same modern. Center sing during anything address professional year strategy. Identify guy message follow degree dream.,North,Garoua,3e7ab514d8514e3af7cd4550fcf8f01bbbeea01288d4380346140aebca19418e
1931ea46-766d-4800-b1bc-5e479beb99d8,f83f5466-fc03-4fa0-8177-0272148ec056,cb723017-d9e6-4240-95ad-21ba1cdfc763,(473)744-8392x914,520-244-9508,SMS,2022-02-18 01:20:05,Harold Johnson,Cassandra Evans,Voice,"Three area least. Value natural up read order pay.
Every first sit deep each finish past note. Single ever record and effort present.
Staff political face memory edge. True something goal.",East,Yaounde,84368450670f15b1b8691bd7dc7777e1804e92ea60a40f67445ce44565eb9e58
37504f5b-3361-48e2-bde9-5e50da98e063,50fe71fb-3ebc-424e-a679-537b14213159,f4e40b1a-c0af-4358-9b65-4ac05c9208e1,001-427-382-3287x29498,001-795-810-5490x8291,MMS,2020-09-02 22:55:27,John Marshall,Adam Lee,Voice,"Body media need treatment state political. Table red note on election by south.
Name heavy current institution enter per. Stock might popular success social no.",Far North,Bertoua,a4a6b0e192892844ed3e8afa369c3b8551b95c74665fe13a6d3a3d7fb2472825
21b1ba17-e032-4511-bb03-ca2ec6ea6a65,bb358999-00f1-4639-b81c-9585c87112dd,921dc25f-84d9-4fd6-ac9d-41abeff19b8d,414-668-5706x206,001-755-893-6948x59042,MMS,2015-10-17 00:07:54,Mary Hunter,Tonya Coleman,Video,Attack child not writer significant hard together doctor. Professor report family table student wife.,Adamaoua,Bamenda,5bc972d8ad5334f1c0761e5b10044daa06ee1b51070c79353173f72cdb4877a8
88c86bf9-5363-464d-98ed-995a53bdf909,9075d305-1881-40c5-b03f-af2c5ac8541a,b5b61b01-11a2-4e5e-bbc7-c99ae7fa9db2,300.425.1704,(548)783-1622,SMS,2020-05-17 06:15:33,Jennifer Kelly,Evan Reed,Text,Significant difficult important husband else admit. Size remember strong price keep give feel. Environment probably east black.,Southwest,Bertoua,f200fbc827af15bd8605ed00acaf575b470475700d1633ab9e06ce2a60f82011
2d581ec8-7433-4bdd-b457-df328f1cac5a,81aefb8c-2ef5-44c4-a81a-b2ed852abe72,e90a9cc1-222a-47f8-aea1-dc013a3a40e2,(315)991-3954x66387,(513)346-5015,SMS,2016-05-12 01:43:37,Kimberly Guerrero,John Scott,Voice,Building hospital just happen however. Call minute on possible prevent thus see.,North,Maroua,62684c8aa56006c885996e3a37d722c75ba6a7aabbecc5b4ae20708fdf58ab16
de605f2f-cb43-440e-ae92-d00f92068451,97df6e72-6d00-43df-8334-ac7079fc7da8,da7cfce4-c60e-4e43-b8c6-d9ecee257302,+1-855-417-1403x16225,001-998-581-0418,SMS,2020-02-04 13:47:44,Andrew Hansen,Brittany Davis,Image,"Power too military for attack. Capital no wrong across.
Common side race family. Yard hold know police laugh film.
Learn believe far past. Lose half live large consider seek writer.",Northwest,Bertoua,a57b4f254daa6704d7fe003f63f8cad6fe5dade990c6db7f7488085c2a10e4b1
9f5a463d-f22d-404d-9fd2-b8bc0a603633,efb78c67-c5ec-4088-b22d-2c58c9b01d16,b61cf089-1e07-4142-80f7-c5095cc38eca,9714574736,(880)414-8094x2458,SMS,2021-12-04 16:53:02,Mr. Todd Roach,Bailey House,Image,Employee work pay treat true. Person nature hear citizen number customer. Form campaign specific last.,Southwest,Bertoua,ff484b2fc7589c91d35350d49981fba0011bcc08f6a7fcf3b52299488bdaa330
1c7ef8ae-a54e-483f-8f0d-530ccdff293e,f36ad09e-bb7b-4765-a8d4-3c1013cf3ac3,bb858617-d14a-4205-8b20-9657d6acb20b,+1-218-217-5462x72293,001-803-899-1060x635,SMS,2019-11-29 00:13:22,Andrew Thompson,Keith Ortiz,Image,Door represent forget appear animal. Economy whose western to management baby set. Other church forward girl knowledge.,North,Bertoua,9c8a8294f46ee79beadd803834dd145c04b5bcc9448e914e171439be1c5d732c
3d38893b-e689-4a35-b2ae-a158d93826b1,0b7a8966-8443-4c4e-87f4-452caada5750,c1488d2a-30ab-468c-b68c-1fe0d01a3524,(344)822-0641,710-518-0219x233,SMS,2016-10-31 17:22:00,Deborah Marshall,Erica Cummings,Image,Option quickly doctor father interesting experience present. Group provide establish friend board.,Northwest,Limbe,4aa5186abc44a51e0739e0a42abc617d98491796bf51fdf21b8947bd8677457f
261dc025-cd46-4f09-b8aa-e6a774a2a1c8,765d50d7-a8ad-40cc-a220-7e10ad3d0e7b,19428527-4643-49e6-a3c0-398aaf9f2010,234.209.6247,(649)516-5918x2127,MMS,2020-06-22 21:10:01,Chelsea Harrison DVM,Cameron Wallace,Voice,"Military question wear claim behind move. Street husband professor him network. Call both short because perform.
Table future anyone must bed meet. Movie of attack.",East,Yaounde,616ab90e84c35bba33e58f8ca1a464e6ed276d719e450cb11c4cc70f5c49b3ec
2d1e35ac-382a-4ed3-8a9a-39b82df631db,fbdab0c2-a754-40b7-b00f-589c70f30505,d08db9e4-b1db-4d0a-81e3-936a9207e746,521.369.1797x456,(891)485-8448,SMS,2017-07-17 04:54:48,Jason Macdonald,Michael Savage,Voice,"Such wear baby know. Character tree yes line real article something.
Modern trade budget particularly film size. Down sign other matter suffer.",North,Bertoua,d4ea77acd1132cd0d070d605a817efa5b538af99f10f18c6995af4095478c27f
2dcdace4-5d9f-4f1b-9712-04cfd5218230,63e34c39-3eda-4596-a535-5b76e474c0b5,c9e534b1-2715-4044-b0fb-66bb13d6af83,001-467-457-4367x585,480.758.7114x45932,VoIP,2021-12-04 20:41:51,Brittany Smith,Melissa Salas,Voice,Age per offer including produce teacher. Structure drop decade road season. Region factor magazine.,Northwest,Maroua,238c32835ac092932d4f82df0baba7da6f430dc811a37239891692422e516578
23a7b278-25a9-40bf-9211-4564c71928fd,ca325db5-d9e6-45df-a890-132db0f59bf1,2043cbef-6b63-4c01-9148-c7927767fad7,665-608-8980,(837)518-1324,VoIP,2023-09-17 13:51:27,Chelsea Blair,Jamie Blankenship,Video,Campaign other customer. Ok institution point speech democratic student. Even group for nation.,Northwest,Bertoua,ebbdcc9dc8b46fa159dba05337aaa91e54fc272dcf75ac13ae9fbcd8d6571323
12d733d5-f05a-4167-bbc9-3c36fe20da75,23685a98-0878-486a-b886-2b2533284de0,b50171c0-b627-4f6c-996a-80dabec85c8d,258.601.8040,(946)359-6211x627,VoIP,2024-04-30 18:39:49,Robert Powell,Michael Robinson,Text,Want seem even hard office fund. Sort stock huge modern sea military. Moment team father however.,Littoral,Bafoussam,8035da90bee78897b9bafe89910a3cb6b5ae433a5a015ee02c0227a1adbbc21f
b5fa28ec-738a-407d-971f-b9b58cab2417,75d3ddfd-2eea-4450-9230-bc126f2776a8,b9732af1-84b2-43bf-8b9b-05bfc11ce113,(952)902-6303x1582,782.754.9662x13494,VoIP,2022-01-02 08:57:19,Karina Robertson,Shannon Moore,Video,"Specific night still yes although argue possible never. Quickly almost last fight.
Music coach need form. Care modern doctor maybe dark according away.",Northwest,Douala,7e32922db95bec71bc138b3299d9d07a6cfe3a228c0518a88a024a880493fd9a
f060439c-259b-459d-8893-5a89239ad28a,71e17e4b-13d9-4cfe-aa32-8e9242a173ba,ae37e451-0d6c-4580-854f-c6efa4f4a36a,463.389.2699x3498,(570)764-4068,VoIP,2020-10-24 02:45:54,Amanda Parrish,Meghan Williams,Image,Report commercial floor bring. Relate investment size window page back democratic. Community wide scientist morning.,East,Ebolowa,3b59bed6559776d0c321d959558d4362235885955272e9386ee99f1d0c6d3a54
e7e018ba-1317-47fe-9f53-463a7b028a2e,a6c53e0a-c415-4000-874d-71f1ef3e588d,b2bab8c0-8afb-43b9-a414-4c9bbf3c515d,614.828.0935x69566,623.857.8575x09471,SMS,2017-10-15 14:30:34,Wendy Richardson,Stacy Fowler,Video,Piece so a realize. Behavior gun number money teacher kitchen concern. Though me thank executive claim.,Northwest,Bertoua,1b01879f24b49528b1d51c99b39ca0892fd15e853829b8c71570b868f85ce31a
4575eb79-7feb-4a1e-abe5-355ad1c7d120,3cace062-2ffe-44f7-bdbb-15a3cec21734,246d690a-026f-447d-aa0f-6396b54aa8d8,573.728.8385x0899,4027767508,SMS,2021-04-12 06:19:35,Curtis Padilla,Marvin Stewart,Video,"Worker audience provide sign cup. Five none religious before.
Cost there economy statement degree thank. Central tough crime. Law research right later traditional shake.",Far North,Bertoua,f3985973d7d76dc3b422fd7e700bbf0112789b63e0b7387bbbef467d541aca0d
dd6e3d5c-8526-45bc-925f-d2988e619635,bfaafe5c-51e8-43c4-8112-96dd99c93d6c,bc4a3ac9-ea33-4c31-9a3d-f6011c4dd89f,970.496.4233x139,001-510-617-2076x8067,SMS,2018-11-17 06:46:21,Meredith Abbott,Nicholas Hill,Video,Face have charge front blue same bank. Soon while board wall board rich. Accept nation threat write store tend. Industry natural list cold.,Littoral,Yaounde,bcdfb09927c2a20b368c2e1b63a85aa3487be6d1ec8293152a63f343ec976437
5757928d-d144-4912-bf6c-b9ff43c368bc,db425e4c-1a99-4ab8-9a93-1a0e48e00ff8,f65456b1-f7c4-4cf0-ab98-f0bfcc8b1fd1,001-634-299-7174,(982)667-5602,VoIP,2023-06-14 02:09:18,Melody Kim,Anthony Graham,Image,Change believe political. Station certain without down through design beautiful. His sport bag each.,Adamaoua,Bamenda,f4f4b9083029af1d95df90fbb8f576907c68586d471c472942c9a550ca03aa26
2831fc4a-71aa-42f6-8345-369edf64e15f,47ec2f08-db0f-4548-8d48-eb5d40c46515,3a46b7cc-bb28-442c-ac1d-2d23acba53ff,860-750-1445x616,8862855755,VoIP,2015-08-14 22:55:00,Kimberly Wilson,Andrew Lindsey,Video,"Red vote none structure loss better career. Guess way water student.
Anything choose meet throughout. Production help through use success Mr analysis. White between fly station life.",Central,Limbe,204e97309f22230e89087bd02166d4f3929a48b89174e76de98ed580e31b2b84
586ce388-bd5b-4a7a-8cb1-c558dda55bd4,9a35f8a9-821d-4b18-9b5b-d91ce33019a9,1a4a36e8-9fee-4193-8929-516b33c27081,(411)676-3964x75653,6464832302,VoIP,2018-05-26 04:18:45,William Patel,Michelle Butler,Text,"Know into trade anything role debate husband. Second focus choice medical worry.
Leave box record never allow school support process. Money benefit spring factor.",Southwest,Buea,cbd550586be295c2d1b6ae4e936f78541f1827cd183c2b7aa993e219a90514ad
c5733340-1d49-4c99-aa13-695fd288ae60,3eed43c0-c3c1-45d8-8d91-909be911fe00,8dc579ca-7a72-4fc7-9d0d-ffc1233fee67,(658)838-2052x5359,889.953.9688,MMS,2022-07-17 14:07:38,Brandon Davenport,Teresa Davis,Text,Under couple impact must step. Benefit morning action Congress head area. Congress contain stage idea section behavior read. Easy off blue up letter name.,Littoral,Buea,94518a0c3f738a24288c1baba6468903f4cd0b493d917d2a0fdeff8cd0ee6edf
03ede855-e0de-484f-95bb-859f77973326,7d681852-0ebe-4585-84db-365a3fb6debe,796333a3-8524-417d-a0e2-ce6bc39c3f4a,+1-598-630-2637x28541,728-486-8368,VoIP,2022-06-03 16:20:21,Steven White,Nicole Cox,Voice,"Article ok policy deep answer. Chair action loss example. Read develop above.
Drive day can last message establish. Necessary body least order hear. Contain language head none citizen.",Littoral,Ngaoundere,acd3bbb429d3edc809120b2c63190137cc6b774ea73c357c4b64f8a119d6de4f
4f9868de-d5c4-44c5-a38d-20da8cf990aa,b486de9d-e1b4-4095-8fd8-c3c076371d68,945976b1-07c7-49e2-8025-4a84952b1768,436-784-1129x835,(499)549-3484,SMS,2019-11-15 05:35:06,Gabriella Livingston,Michael Harris,Text,Animal far figure degree majority determine machine. Second color wonder.,Littoral,Maroua,19da2ee767bfb8e1809a658b7912706d27375124d4ffd5d4b625cabdfbe2fea7
2ab88071-db47-4ee6-806a-dfa4ec21354f,4617936a-ddc0-4b21-a2b1-58da13538e2a,ccd62d7e-52fd-42a5-ac56-0aacc4340f2f,542-950-0966x7256,258.803.3415x591,SMS,2022-04-21 14:15:26,Robert Morrison,Timothy Curry,Text,Often executive strategy cause note court during. Point where six central town inside name likely. Although along reason garden while become others right.,North,Bertoua,0ea761f7eb71793ee0636a9d8f389fdf36a32628df66054acbcf8c4fa60d0097
11da692c-f85c-40e4-b2c2-b2a543a04e3e,847bac73-3146-4978-bc5d-7dabe72b7f94,2fb6445d-992c-4c98-a6af-15bd2e659f75,387-259-8360x71422,001-379-375-6174x40927,VoIP,2020-01-19 19:31:20,Mark Smith,Leslie Freeman,Video,"Life try body culture go teach scientist.
Skin operation positive list. Site sound all economic across field miss.",East,Bafoussam,65a8b69fcc50fc47025eabfebbea9a1d05dd20d478157724dd80631ea2296cc7
37b64add-3504-4545-85e7-e71468a1095e,2bf1910c-f8f0-46de-9e48-aae2cecb5427,b64c9e5c-1b10-47f5-866e-592928c30f27,626.954.3437,001-999-949-5247x199,VoIP,2018-01-30 13:20:50,Wendy Johnson,Eric Wallace,Text,Democrat use activity across listen Mrs. Total only short win. Push series first issue family.,North,Maroua,e933318c3e711852457f17433e1fa7842ffa735d76f179467d459257bc740ee3
