Subscriber_ID,Subscriber_name,Subscriber_phone,Subscriber_email,Subscriber_address,Subscriber_type,Subscriber_registration_date,Subscriber_network_name,Subscriber_network_ID,Subscriber_expiry_date,Associated_NID_NUM,Subscriber_user_gender,Subscriber_user_age,Subscriber_user_age_group,Region,City,Subscriber_registration_date_ID,Subscriber_expiry_date_Foreign_ID
8b015813-4307-43e1-9018-4f046bf018a9,Steven Harris,(607)507-0077x30469,henrybrandon@example.net,"75380 Miller Brooks
Jacobsview, HI 58425",individual,2017-03-20 02:24:16,MTN,50d5e0c4-04cc-409d-bee2-856266153aa8,2022-02-24 17:18:58,d45e1061-85df-4a87-af04-aa83df8bec0d,F,36,Mid-30s Adult,East,Douala,15df640981a294755d5992143e2b0663dd4f3266dd6b26eaaa1d7575ed68acf6,410a8aa42a84b33e0d223627f7f1b2ff071c308da6f97b2f3551e7c956bf302b
9f22ae1f-6662-4abd-b263-bfcfe26c1eec,Tyler Johnson,001-938-689-3877x025,xlopez@example.org,"4147 Gibbs Radial
Bradport, MP 58570",business,2015-08-18 04:41:03,ORANGE,158780bb-289f-4a34-86dc-1e18746c6515,2015-02-28 10:40:28,6b7c64d2-89f6-4423-a3d0-a5bd2abcd27f,M,65,60s,South,Yaounde,eaecc3e77cbb7b0dc1daff34ff42490de4937a0df275427349fb1161803b87f9,7b9a39238d103447aec1c2783004c2105f1cae588bd56cf94ac1bc091bea77a4
fef0ee5a-72c0-487a-83cd-848bbab199e0,Jaime Collins,9554471169,amandacruz@example.net,"1877 Miller Park
Allisonshire, SD 25161",individual,2018-07-21 09:09:32,MTN,c8963766-067b-4c57-b82c-072b9b9d76be,2024-04-13 02:12:47,dc877297-0454-4500-b52e-b9ff4480b661,F,36,Mid-30s Adult,South,Garoua,1f697a80fcbeeb6ffa50c83f1d08e033c40ffdde1dfaa3313e69dc62586b8ae2,8da9c9fdd0d0b682cf2b32806f8b5629acf664f4ba825ed1b2471aff9d324d74
01437d57-81cc-46be-97e8-8a342931137a,Tim Bowman,(996)331-2240x06031,matthewkeller@example.com,"4559 Berger Crest
Lake Emily, IN 46720",individual,2016-02-04 14:47:35,CAMTEL,40448230-1345-4d61-86a0-310de928bb35,2015-07-08 05:45:02,c48d799e-b4d9-483d-a9d0-ad0756a4a842,M,93,90s-100s,West,Bertoua,3e343c79f34a3561f101f114f88be730ea6db6f20395ac750d1ad6b680f904f5,a082298ddab6dbdf3f33227aed4eeaa16bd7d5d5ec5c9262f55ccbc92fb6a277
0be1107e-cdd8-48de-8b3f-aa76cc5c3334,Troy Henderson,001-380-226-2125,harrisveronica@example.net,"268 Ford Courts Apt. 868
Nicholasland, WI 54022",business,2015-05-02 06:15:31,ORANGE,a102d0ae-faf9-4b60-a182-c9a688fe03d8,2017-11-09 20:34:04,44cad42b-6af4-4f3d-b0be-61edeb66a030,F,21,Early-20s,Littoral,Bafoussam,91848e03474c8396f0653057c10ae13130bd9530ae78cfb96a16f9377c3a54c0,bce2e8163e674801b6620d687992d715e4f9787ea69bef96f45dff20793d5f27
956d8591-47a4-4fa0-ac5b-470d2197d6ad,Kevin Howard,498-616-8100x4208,ncollins@example.net,"265 David Squares
East Brian, KS 84816",business,2019-01-27 23:00:40,CAMTEL,4e83b520-be64-4b78-a872-35d8cb4942e9,2022-07-08 17:43:16,3d13f74c-a121-4c37-ada8-a3a3ebebe275,F,42,40s,Central,Buea,e58ce691bbf1aeb785262539f45f3caa9de66cd0798a65c3610507bbe6068eb9,b5f8a4349d8efe8bb9465040be2c4a276e9b3116f3f5cb4715889a4e1f14e99e
9630ab29-21a9-412c-ace7-13c004e9f08e,Matthew Berry,(934)952-3413,scottbarnes@example.net,"16406 Dustin Causeway
Port Jennifer, CA 05581",individual,2022-11-16 11:27:22,ORANGE,e1cc9c1a-0a6c-42fa-b887-da905ef0183b,2020-05-22 17:24:15,b27add56-4279-4d71-b897-eb16d30ab52d,F,21,Early-20s,Adamaoua,Yaounde,fb48e46cd5fdcabde3a06012947910f2fd8ea09f2c3b76f68dfe03323a14df10,a4c292d2938bc2211ba32f875a7a7da35faa2397ad085b47de97233eca142c37
634d1627-55c6-4baf-ae30-3942e1c276b9,Joshua Wilson,684.490.1277,gonzalezjennifer@example.net,"506 Cooley Rapid
Laurashire, NH 31499",individual,2017-08-16 23:29:26,CAMTEL,e16a510c-756f-43a3-af94-fe71bcdbaef8,2021-12-25 21:28:13,c7920fda-2777-4b9c-926e-d16c61c37be1,M,42,40s,West,Maroua,1ab7647180f956fff38b69ba22a082aa7600e1c2039f32dca5c247d491db8011,eea59de2400698cfbd9e8f8afae09e1043b569b3e84a46fc080ea66c1285bccf
b16d698f-d3be-4891-94a5-3801a592959a,Jesus Cook,410-985-3016x4801,andersonfrancisco@example.net,"47852 Fischer Way Apt. 710
Martinview, WY 57854",individual,2017-08-11 09:30:56,CAMTEL,24e03428-db2b-488c-946b-102435fe7330,2016-07-31 00:55:38,2b89132e-4196-45af-a43d-df8a229047dc,F,42,40s,Southwest,Bertoua,62c10ddc73f3177760ecb5f92e1da5853ca072b835519ce5fe5ddbc13a60d052,aae57f5c9cc00b13f15eaf46b17e87c53eea009f3d0ac4d5401c4e0422fde8fb
0fe82068-e52e-4325-ab23-325ea92822f7,Sarah Allen,463.821.6452x78070,connerjeffrey@example.org,"347 Maria Drives Apt. 184
West Grace, GU 92355",individual,2019-06-09 14:18:14,CAMTEL,de4c488d-c35a-4235-a0cb-74462cdcd077,2017-11-26 05:44:09,57e5972b-39d2-4eba-b705-4d6904008f83,M,23,Early-20s,Littoral,Yaounde,3fbd1c5290dc2f9be39a07fc62682a1e6935a8496da91f76f1b934e5b691d686,316d0cf907e41b3be4021b9bd503516524a814b239a16f5160114b46f03b3eb0
